trade_date,symbol,series,prev_close,open_price,high_price,low_price,last_price,close_price,vwap,volume,turnover,trades,deliverable Volume,Deliverble
2007-11-27,MUNDRAPORT,EQ,440.0,770.0,1050.0,770.0,959.0,962.9,984.72,27294366,2687719053785000.0,,9859619,0.36119999999999997
2007-11-28,MUNDRAPORT,EQ,962.9,984.0,990.0,874.0,885.0,893.9,941.38,4581338,431276530164999.94,,1453278,0.3172
2007-11-29,MUNDRAPORT,EQ,893.9,909.0,914.75,841.0,887.0,884.2,888.09,5124121,455065846264999.94,,1069678,0.20879999999999999
